antecedent_uid,antecedent_value,antecedent_name,consequent_uid,consequent_value,consequent_name
P000001,false,$T_0$,P000018,true,Lindelöf
P000001,false,$T_0$,P000021,true,Weakly countably compact
P000001,false,$T_0$,P000029,true,Countable chain condition
P000001,false,$T_0$,P000041,true,Locally connected
P000001,false,$T_0$,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000001,false,$T_0$,P000061,true,Cozero complemented
P000001,false,$T_0$,P000062,true,Weakly Lindelöf
P000001,false,$T_0$,P000066,true,Menger
P000001,false,$T_0$,P000069,true,Strategic Menger
P000001,false,$T_0$,P000072,true,2-Markov Menger
P000001,false,$T_0$,P000083,true,Meta-Lindelöf
P000001,false,$T_0$,P000105,true,Para-Lindelöf
P000001,false,$T_0$,P000128,true,$k$-Lindelöf
P000001,false,$T_0$,P000131,true,Hereditarily Lindelöf
P000001,false,$T_0$,P000149,true,$\omega$-Lindelöf
P000001,false,$T_0$,P000153,true,$\omega$-Menger
P000001,false,$T_0$,P000156,true,$k$-Rothberger
P000001,false,$T_0$,P000157,true,Strategically $k$-Rothberger
P000001,false,$T_0$,P000159,true,$k$-Menger
P000001,false,$T_0$,P000160,true,Strategically $k$-Menger
P000001,false,$T_0$,P000163,true,Cardinality $\leq\mathfrak c$
P000001,false,$T_0$,P000172,true,Radial
P000001,false,$T_0$,P000173,true,Pseudoradial
P000001,false,$T_0$,P000174,true,Well-based
P000001,false,$T_0$,P000197,true,Has countable spread
P000001,false,$T_0$,P000198,true,Has countable extent
P000001,false,$T_0$,P000209,true,Density $\leq\mathfrak c$
P000001,false,$T_0$,P000210,true,$\alpha_1$
P000001,false,$T_0$,P000211,true,$\alpha_{1.5}$
P000001,false,$T_0$,P000212,true,$\alpha_2$
P000001,false,$T_0$,P000213,true,$\alpha_3$
P000001,false,$T_0$,P000214,true,$\alpha_4$
P000001,false,$T_0$,P000229,true,Semilocally simply connected
P000001,false,$T_0$,P000234,true,Has open connected components
P000001,false,$T_0$,P000244,true,Has countable $\pi$-character
P000002,false,$T_1$,P000061,true,Cozero complemented
P000002,false,$T_1$,P000172,true,Radial
P000002,false,$T_1$,P000173,true,Pseudoradial
P000002,false,$T_1$,P000174,true,Well-based
P000002,false,$T_1$,P000209,true,Density $\leq\mathfrak c$
P000002,false,$T_1$,P000210,true,$\alpha_1$
P000002,false,$T_1$,P000211,true,$\alpha_{1.5}$
P000002,false,$T_1$,P000212,true,$\alpha_2$
P000002,false,$T_1$,P000213,true,$\alpha_3$
P000002,false,$T_1$,P000214,true,$\alpha_4$
P000002,false,$T_1$,P000229,true,Semilocally simply connected
P000002,false,$T_1$,P000234,true,Has open connected components
P000002,false,$T_1$,P000244,true,Has countable $\pi$-character
P000003,false,$T_2$,P000209,true,Density $\leq\mathfrak c$
P000003,false,$T_2$,P000229,true,Semilocally simply connected
P000004,false,$T_{2 \frac{1}{2}}$,P000209,true,Density $\leq\mathfrak c$
P000004,false,$T_{2 \frac{1}{2}}$,P000229,true,Semilocally simply connected
P000005,false,$T_3$,P000209,true,Density $\leq\mathfrak c$
P000005,false,$T_3$,P000229,true,Semilocally simply connected
P000006,false,$T_{3 \frac{1}{2}}$,P000209,true,Density $\leq\mathfrak c$
P000006,false,$T_{3 \frac{1}{2}}$,P000229,true,Semilocally simply connected
P000007,false,$T_4$,P000209,true,Density $\leq\mathfrak c$
P000007,false,$T_4$,P000229,true,Semilocally simply connected
P000008,true,$T_5$,P000032,true,Countably paracompact
P000008,true,$T_5$,P000033,true,Countably metacompact
P000008,true,$T_5$,P000127,false,Dowker
P000008,true,$T_5$,P000193,true,Shrinking
P000008,false,$T_5$,P000209,true,Density $\leq\mathfrak c$
P000008,false,$T_5$,P000229,true,Semilocally simply connected
P000009,false,Functionally Hausdorff,P000209,true,Density $\leq\mathfrak c$
P000009,false,Functionally Hausdorff,P000229,true,Semilocally simply connected
P000010,true,Semiregular,P000192,true,Quasi-sober
P000010,false,Semiregular,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000010,false,Semiregular,P000209,true,Density $\leq\mathfrak c$
P000010,false,Semiregular,P000229,true,Semilocally simply connected
P000011,false,Regular,P000209,true,Density $\leq\mathfrak c$
P000011,false,Regular,P000229,true,Semilocally simply connected
P000012,false,Completely regular,P000209,true,Density $\leq\mathfrak c$
P000012,false,Completely regular,P000229,true,Semilocally simply connected
P000013,false,Normal,P000175,true,Cardinality $\geq 3$
P000013,false,Normal,P000209,true,Density $\leq\mathfrak c$
P000013,false,Normal,P000229,true,Semilocally simply connected
P000014,true,Completely normal,P000127,false,Dowker
P000014,false,Completely normal,P000175,true,Cardinality $\geq 3$
P000014,false,Completely normal,P000209,true,Density $\leq\mathfrak c$
P000014,false,Completely normal,P000229,true,Semilocally simply connected
P000015,true,Perfectly normal,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000015,true,Perfectly normal,P000081,true,Countably tight
P000015,true,Perfectly normal,P000083,true,Meta-Lindelöf
P000015,true,Perfectly normal,P000088,true,Collectionwise normal
P000015,true,Perfectly normal,P000105,true,Para-Lindelöf
P000015,true,Perfectly normal,P000108,true,Hereditarily collectionwise normal
P000015,true,Perfectly normal,P000115,true,Subparacompact
P000015,true,Perfectly normal,P000193,true,Shrinking
P000015,true,Perfectly normal,P000194,true,Submetacompact
P000015,true,Perfectly normal,P000207,true,Strongly collectionwise normal
P000015,false,Perfectly normal,P000209,true,Density $\leq\mathfrak c$
P000015,false,Perfectly normal,P000229,true,Semilocally simply connected
P000016,true,Compact,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000016,true,Compact,P000209,true,Density $\leq\mathfrak c$
P000016,false,Compact,P000229,true,Semilocally simply connected
P000017,true,$\sigma$-compact,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000017,true,$\sigma$-compact,P000128,true,$k$-Lindelöf
P000017,true,$\sigma$-compact,P000209,true,Density $\leq\mathfrak c$
P000017,false,$\sigma$-compact,P000229,true,Semilocally simply connected
P000018,true,Lindelöf,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000018,true,Lindelöf,P000209,true,Density $\leq\mathfrak c$
P000018,false,Lindelöf,P000229,true,Semilocally simply connected
P000019,true,Countably compact,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000019,true,Countably compact,P000140,true,$k_1$-space
P000019,true,Countably compact,P000209,true,Density $\leq\mathfrak c$
P000019,false,Countably compact,P000229,true,Semilocally simply connected
P000020,true,Sequentially compact,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000020,true,Sequentially compact,P000140,true,$k_1$-space
P000020,true,Sequentially compact,P000163,true,Cardinality $\leq\mathfrak c$
P000020,true,Sequentially compact,P000209,true,Density $\leq\mathfrak c$
P000020,false,Sequentially compact,P000229,true,Semilocally simply connected
P000021,true,Weakly countably compact,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000021,true,Weakly countably compact,P000209,true,Density $\leq\mathfrak c$
P000021,false,Weakly countably compact,P000229,true,Semilocally simply connected
P000022,true,Pseudocompact,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000022,true,Pseudocompact,P000209,true,Density $\leq\mathfrak c$
P000022,false,Pseudocompact,P000229,true,Semilocally simply connected
P000023,true,Weakly locally compact,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000023,true,Weakly locally compact,P000127,false,Dowker
P000023,false,Weakly locally compact,P000135,true,$R_0$
P000023,false,Weakly locally compact,P000209,true,Density $\leq\mathfrak c$
P000023,false,Weakly locally compact,P000229,true,Semilocally simply connected
P000024,true,Locally relatively compact,P000033,true,Countably metacompact
P000024,true,Locally relatively compact,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000024,true,Locally relatively compact,P000127,false,Dowker
P000024,false,Locally relatively compact,P000209,true,Density $\leq\mathfrak c$
P000024,false,Locally relatively compact,P000229,true,Semilocally simply connected
P000025,true,Exhaustible by compacts,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000025,true,Exhaustible by compacts,P000209,true,Density $\leq\mathfrak c$
P000025,false,Exhaustible by compacts,P000229,true,Semilocally simply connected
P000026,true,Separable,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000026,true,Separable,P000061,true,Cozero complemented
P000026,true,Separable,P000127,false,Dowker
P000026,false,Separable,P000229,true,Semilocally simply connected
P000027,true,Second countable,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000027,true,Second countable,P000061,true,Cozero complemented
P000027,true,Second countable,P000163,true,Cardinality $\leq\mathfrak c$
P000027,false,Second countable,P000229,true,Semilocally simply connected
P000028,true,First countable,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000028,true,First countable,P000127,false,Dowker
P000028,false,First countable,P000135,true,$R_0$
P000028,false,First countable,P000209,true,Density $\leq\mathfrak c$
P000028,false,First countable,P000229,true,Semilocally simply connected
P000029,true,Countable chain condition,P000061,true,Cozero complemented
P000029,true,Countable chain condition,P000127,false,Dowker
P000029,true,Countable chain condition,P000209,true,Density $\leq\mathfrak c$
P000029,false,Countable chain condition,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
P000029,false,Countable chain condition,P000229,true,Semilocally simply connected
P000030,true,Paracompact,P000059,true,Cardinality $\leq 2^{\mathfrak c}$
